id,text,label,cot
ed2jmoc__aggregate,My hero!,['admiration'],"The author considers someone their hero, therefore expressing admiration for them."
ed3e2yk__aggregate,Absolutely same.,['admiration'],"The author seems to agree with something expressed by another person, expressing their approval and therefore their admiration."
ed433ik__aggregate,This isn’t a “someone” this is a company.,['anger'],"The author is appaled at someone else for bestowing personhood to a company, causing them to be angry."
ed6gk3y__aggregate,"Cheers, brother. What are you doing to meet women? ","['joy', 'surprise']","The author seems to be excited in response to someone else's comment, expressing joy. They are also curious, posing a question to that person, showing their surprise."
ed71ia9__aggregate,"Yes, the Raptors need to stop committing dumb fouls.",['anger'],"The author is losing their patience with their basketball team committing unnecessary fouls, showing their anger."
ed9pt91__aggregate,KAT doesn't play defense lol,['joy'],"The author is poking fun at an athlete named KAT, showing their amusement."
edbmttd__aggregate,I think you misunderstood me. I wanted to say that it was beyond stupid 😊,"['admiration', 'sadness', 'anger']","The author is implicitly expressing their annoyance, and therefore anger, with another person not understanding their statement, shown both by the choice of emoji and the phrase ""beyond stupid"". They also hint at their disappointment for the same reason, and therefore sadness. Finally, they seem to have realized the other person did not pick up on their expression, which can be seen as admiration of one's self."
edfdv2z__aggregate,She’s still not gonna message you dude I promise,"['optimism', 'admiration']","The author is showing care for another person, evidenced by the manner they advise them, which demonstrates their optimism. Similarly, their positive tone conveys approval, and therefore admiration, for the other person."
ednxvsk__aggregate,So edgy. 1/10 Try again. You can put a little more effort into your trolls.,"['optimism', 'anger']","The authors shows care and optimism at the other person, trusting that they can improve their insults. However, these insults also cause them to be angry and disapproving of their actions."
edo5mqq__aggregate,Oh cool. Did everything else that got listed not happen either?,"['joy', 'surprise']","The author shows their amusement and surprise at the described failure, betraying joy, but also their curiosity and surprise to find out more information."
edoa90h__aggregate,That escalated quickly.,['admiration'],"The author shows their realization that some event took place, conveying self admiration."
edtnbd8__aggregate,"It's hard to try to evaluate yourself, but I appreciate you trying.",['admiration'],"The author is grateful, and therefore admiring of, another person for their attempt to help."
eduqnet__aggregate,but this girl said no make out lmao she just want a cuddle buddy till marriage XD,['joy'],"The author is joking about an incident, showing amusement and joy."
ee0kq94__aggregate,The one in WA state. For some reason Vancouver BC is really close to Vancouver WA. It's weird,['anger'],"The author is annoyed at the whoever decided to name to nearby cities with the same name, expressing their anger."
ee0oizz__aggregate,I wish. Chalk it up to a brain fart,['optimism'],The author is optimistic that an unfortunate event was a unwanted mistake.
ee1xh0r__aggregate,We really need to go on some sort of winning streak,['optimism'],The author is expressing their desire and optimism for a winning streak.
ee2efj5__aggregate,I feel like you and i share a mind. I appreciate your creativity!,['admiration'],The author is expressing their approval and admiration for a fellow human.
ee3ig9s__aggregate,The lesson is to not take 4 Ambien. That is just stupid.,"['admiration', 'anger']","The author is expressing their admiration for their important, new-found knowledge, but also anger at their previous lack of knowledge."
ee5meg9__aggregate,Looks just like the snow we've been getting in Halifax recently! (Canada),['admiration'],The author is feeling closeness with and admires another part of the world because of its resemblance to their home.
ee8kgeq__aggregate,"To be fair, expecting sex twice a day, every day is a little ridiculous.","['optimism', 'anger']","The author is expressing desire and optimism for the drive of someone else, but at the same time thinks the other person's demands are unreasonable."
eeaqwk8__aggregate,"Congrats, proud of you ! Hopefully I can follow your lead and get myself out of a similar situation ","['joy', 'optimism', 'admiration']","The author is expressing their joy at the good fortune of another person, their admiration at the example they set, and the optimism they will be able to follow their lead."
eeb5ige__aggregate,I’m a millennial and my mortgage payment only takes about 1/5 of my after tax earnings in a month. Feels so good.,"['joy', 'admiration']","The author is elated to be spending so little of their income on mortgage, showing pride, relief, and therefore admiration at their accomplishment."
eec4srq__aggregate,"This is an excellently written response, thank you for offering her your support. ",['admiration'],The author is admiring the skill and help of another person.
eeea1x2__aggregate,i think you misunderstood my comment. [NAME] over [NAME] any day,[],The author is dispassionately correcting a misunderstanding.
eeh1bgf__aggregate,She's not more than 17. And I love teenage [NAME]. Don't want her adult.,"['joy', 'anger']","The author is happy with the current state of affairs, but also dissatisfied it is not going to be so in the future."
eemr899__aggregate,Probably stop school shootings hehe,"['joy', 'optimism']","The author is expressing their amusement in their response, but also is optimistic school shootings are going to stop."
eeobr6j__aggregate,If this data were exportable in CSV format. I would love this website long time. (Github link for feature contributions maybe?),['joy'],The author is expressing their excitement for a product.
eeqgtl9__aggregate,Replace that friend with a whole pile of desillusioned friends and you might as well @me,['optimism'],The author is expressing their optimism for the future actions of another.
eeubxt1__aggregate,Whaaat! They are not actually trained to do this lol,[],The author is simply pointing out a fact about the training of a specific proffesion.
eevkair__aggregate,Because they want to make money.,[],The author is objectively responding to a question.
ef3bvby__aggregate,My guys about to laser a 5 year old cause he didn’t give that little girl his lunchable,['optimism'],The author is expressing their optimism for the future actions of another.
ef4xkr4__aggregate,"Well, you know what happened the first time he came down...",['surprise'],The author is expressing their surprise it came down to the same situation as in the past.
ef53hly__aggregate,"Haha not in those words, but I did say it was dramatic and unreasonable.","['joy', 'anger']","The author is amused by a previous response. However, they are angry true intentions did not come through."
ef5k3gh__aggregate,These 2 are repulsive little kids,['admiration'],"The author is approving and admiring of the vilification of two other people, for which they express agreement."
ef7qmi7__aggregate,I still love figment!,['joy'],"The author expresses love, and therefore joy."
ef7zuuk__aggregate,"Oh lord, we're about to have a hell of an offseason","['fear', 'sadness']","The author is expressing anxiety and sadness for upcoming events, betrayed by ""Oh lord"", which is only used when expressing negative sentiment."
ef91jzy__aggregate,"Can anyone here show where in the Quran it states ""not to delay your salah for anything"" ?",['surprise'],"The author is expressing confusion, and therefore surprise, at the lack of knowledge of others."
efa1xx2__aggregate,Haha gutted.,['joy'],The authors is amused by a joke.
efbwehi__aggregate,Plot twist: [NAME] is [NAME] estranged father,[],The author is stating a fact.
efd3s59__aggregate,"If that were my car the spare would be flat too, so at least you've got that going for ya.",['optimism'],The author is expressing their optimism about the situation of another.
efdt2uc__aggregate,"you have zero evidence that anything in this story is fabricated. your blind cop hatred just really, really wants you to believe that.",['anger'],The author is expressing anger at the baseless bias of another person.
efe5t30__aggregate,MmMm I love me some microplastics.,['joy'],The authors is expressing their opinion on microplastics ironically with an amusing joke.
efebsxb__aggregate,These were the naughty children! HO HO HO!,[],"The author is impersonating Santa Claus, but not necessarily expressing any emotions."
efehmwp__aggregate,"So just tell me I dont want to go look, was the video cut/edited? Or is it RAW? I MUST KNOW!",['surprise'],"The author is curious and surprised at the state of the video, because they are asking for further details."
effgn9g__aggregate,What a career for TBA. Started on the wing for Qld in 2002 and now playing at prop for the Indigenous side 17 years later.,['admiration'],The author is admiring the career of the mentioned individual.